substance,code,doses,quantities
['lidocaine'],0101010R0BEAAAD,[],[]
['phenobarbital'],0102000D0BFAAAB,[],[]
['phenobarbital'],0102000E0AAAAAA,[],[]
['hyoscine'],0102000N0AAAAAA,"[('20000', 'mcg')]","[('1', 'sztuk')]"
['hyoscine'],0102000N0AAABAB,"[('10000', 'mcg')]",[]
['hyoscine'],0102000N0AAACAC,"[('20000', 'mcg')]",[]
['hyoscine'],0102000N0AAADAD,"[('100000', 'mcg')]",[]
['hyoscine'],0102000N0AAAEAE,"[('1000', 'mcg')]",[]
['hyoscine'],0102000N0AAAFAF,"[('500', 'mcg')]",[]
['hyoscine'],0102000N0AAAGAG,"[('10000', 'mcg')]",[]
['hyoscine'],0102000N0AAAHAH,"[('20000', 'mcg')]",[]
['hyoscine'],0102000N0AAAIAI,"[('5000', 'mcg')]",[]
['hyoscine'],0102000N0AAAJAJ,"[('40000', 'mcg')]",[]
['hyoscine'],0102000N0AAAKAK,"[('60000', 'mcg')]",[]
['hyoscine'],0102000N0AAALAL,"[('80000', 'mcg')]",[]
['hyoscine'],0102000N0AAAMAM,"[('400', 'mcg')]",[]
['hyoscine'],0102000N0AAANAN,"[('4900', 'mcg')]",[]
['hyoscine'],0102000N0AAAPAP,"[('10000', 'mcg')]",[]
['hyoscine'],0102000N0AAAQAQ,"[('10000', 'mcg')]",[]
['hyoscine'],0102000N0AAATAT,"[('20000', 'mcg')]",[]
['hyoscine'],0102000N0BBAAAB,"[('10000', 'mcg')]",[]
['hyoscine'],0102000N0BBABAA,"[('20000', 'mcg')]","[('1', 'sztuk')]"
['hyoscine'],0102000N0BBACAB,"[('10000', 'mcg')]",[]
['hyoscine'],0102000N0BBADAB,"[('10000', 'mcg')]",[]
['codeine'],0104020D0AAAAAA,"[('30000', 'mcg'), ('250000', 'mcg')]","[('5', 'sztuk')]"
['codeine'],0104020D0AAABAB,[],[]
['codeine'],0104020D0AAACAC,[],[]
['codeine'],0104020D0AAADAD,[],[]
['codeine'],0104020D0BBAAAB,[],[]
['codeine'],0104020D0BCAAAC,[],[]
['morphine'],0104020N0AAAAAA,[],[]
['morphine'],0104020N0AAABAB,[],[]
['morphine'],0104020N0AAACAC,[],[]
['morphine'],0104020N0AAADAD,[],[]
['morphine'],0104020N0AAAEAE,[],[]
['morphine'],0104020N0AAAFAF,[],[]
['morphine'],0104020N0AAAGAG,[],[]
['morphine'],0104020N0BBAAAC,[],[]
['morphine'],0104020N0BCAAAD,[],[]
['morphine'],0104020N0BEAAAE,[],[]
['morphine'],0104020N0BEABAF,[],[]
