substance,code,doses,quantities
['paracetamol'],10541401000001101,[],[]
['paracetamol'],16752811000001104,"[('650000', 'mcg')]",[]
['paracetamol'],16753111000001100,"[('650000', 'mcg')]","[('10', 'sztuk')]"
['paracetamol'],16752911000001109,"[('650000', 'mcg')]","[('5', 'sztuk')]"
['paracetamol'],16753011000001101,"[('650000', 'mcg')]","[('8', 'sztuk')]"
['aripiprazole'],9193201000001100,[],[]
['aripiprazole'],8446901000001109,[],[]
['aripiprazole'],11979801000001102,[],[]
['aripiprazole'],8842301000001104,"[('10000', 'mcg')]",[]
['aripiprazole'],10664611000001100,"[('10000', 'mcg')]",[]
['aripiprazole'],10664711000001109,"[('10000', 'mcg')]","[('28', 'sztuk'), ('28', 'sztuk')]"
['aripiprazole'],18049311000001105,"[('10000', 'mcg')]",[]
['aripiprazole'],18049411000001103,"[('10000', 'mcg')]","[('28', 'sztuk')]"
['aripiprazole'],19726011000001103,"[('10000', 'mcg')]",[]
['aripiprazole'],19726211000001108,"[('10000', 'mcg')]","[('28', 'sztuk')]"
['aripiprazole'],13819511000001105,"[('10000', 'mcg')]",[]
['aripiprazole'],13819611000001109,"[('10000', 'mcg')]","[('28', 'sztuk')]"
['aripiprazole'],13184411000001104,"[('10000', 'mcg')]",[]
['aripiprazole'],13184611000001101,"[('10000', 'mcg')]","[('28', 'sztuk')]"
['aripiprazole'],8453001000001103,"[('10000', 'mcg')]",[]
['aripiprazole'],7637111000001104,"[('10000', 'mcg')]",[]
['aripiprazole'],7637211000001105,"[('10000', 'mcg')]","[('28', 'sztuk'), ('28', 'sztuk')]"
['aripiprazole'],13818111000001108,"[('10000', 'mcg')]",[]
['aripiprazole'],13818211000001102,"[('10000', 'mcg')]","[('28', 'sztuk')]"
['aripiprazole'],13096111000001109,"[('10000', 'mcg')]",[]
['aripiprazole'],13096211000001103,"[('10000', 'mcg')]","[('28', 'sztuk')]"
['aripiprazole'],29952911000001108,"[('10000', 'mcg')]",[]
['aripiprazole'],29953011000001100,"[('10000', 'mcg')]","[('28', 'sztuk')]"
['aripiprazole'],16253311000001109,"[('10000', 'mcg')]",[]
['aripiprazole'],16253411000001102,"[('10000', 'mcg')]","[('28', 'sztuk')]"
