substance,code,doses,quantities
['hyoscine'],a47..,[],[]
['hyoscine'],a471.,"[('10000', 'mcg')]",[]
['hyoscine'],a472.,"[('20000', 'mcg')]",[]
['hyoscine'],a473.,"[('10000', 'mcg')]",[]
['hyoscine'],a474.,"[('10000', 'mcg')]",[]
['hyoscine'],a47y.,"[('10000', 'mcg')]",[]
['hyoscine'],a47z.,"[('20000', 'mcg')]",[]
['domperidone'],a4g..,[],[]
['metoclopramide'],a4h..,[],[]
['phenobarbital'],a517.,[],[]
['codeine'],a81..,[],[]
['codeine'],a811.,"[('15000', 'mcg')]",[]
['codeine'],a812.,"[('30000', 'mcg')]",[]
['codeine'],a813.,"[('60000', 'mcg')]",[]
['codeine'],a814.,[],[]
['codeine'],a815.,[],[]
['morphine'],a84..,[],[]
['morphine'],a842.,[],[]
['colestyramine'],aa2..,[],[]
['colestyramine'],aa21.,"[('4000000', 'mcg')]",[]
['colestyramine'],aa2z.,"[('4000000', 'mcg')]",[]
['lidocaine'],ah16.,"[('25000000', 'mcg')]",[]
['lidocaine'],ah17.,[],[]
['lidocaine'],ah1A.,"[('25000000', 'mcg')]",[]
['lidocaine'],ah1b.,[],[]
['lidocaine'],ah1B.,"[('25000000', 'mcg')]",[]
['lidocaine'],ah1c.,[],[]
['lidocaine'],ah1C.,"[('50000000', 'mcg')]",[]
['lidocaine'],ah1D.,[],[]
['lidocaine'],ah1E.,[],"[('30', 'sztuk')]"
['lidocaine'],ah1j.,"[('55000000', 'mcg')]",[]
['lidocaine'],ah1k.,[],[]
['lidocaine'],ah1l.,"[('50000000', 'mcg')]",[]
['glyceryl_trinitrate'],ak2..,[],[]
['glyceryl_trinitrate'],ak21.,"[('0.2', '%')]",[]
['glyceryl_trinitrate'],ak22.,"[('0.4', '%'), ('30000000', 'mcg')]",[]
['glyceryl_trinitrate'],ak2z.,"[('0.4', '%')]",[]
['orlistat'],aw1..,[],[]
['orlistat'],aw11.,"[('120000', 'mcg')]",[]
['orlistat'],aw12.,"[('120000', 'mcg')]",[]
['orlistat'],aw13.,"[('60000', 'mcg')]",[]
['orlistat'],aw14.,"[('60000', 'mcg')]",[]
['orlistat'],aw15.,"[('27000', 'mcg')]",[]
['orlistat'],aw16.,"[('27000', 'mcg')]",[]
['orlistat'],aw17.,"[('120000', 'mcg')]",[]
['digoxin'],b11..,[],[]
['digoxin'],b111.,"[('62', 'mcg')]",[]
['digoxin'],b112.,"[('125', 'mcg')]",[]
['digoxin'],b113.,"[('250', 'mcg')]",[]
['digoxin'],b114.,"[('100', 'mcg')]",[]
['digoxin'],b115.,"[('125', 'mcg')]",[]
['digoxin'],b116.,"[('250', 'mcg')]",[]
['digoxin'],b117.,"[('500', 'mcg')]",[]
['digoxin'],b118.,"[('62', 'mcg')]",[]
['digoxin'],b119.,"[('50', 'mcg')]",[]
['digoxin'],b11A.,"[('50', 'mcg')]",[]
['digoxin'],b11B.,"[('500', 'mcg')]",[]
['digoxin'],b11C.,"[('62', 'mcg')]",[]
['digoxin'],b11D.,"[('125', 'mcg')]",[]
['digoxin'],b11E.,"[('250', 'mcg')]",[]
['digoxin'],b16..,[],[]
['digoxin'],b161.,"[('38000', 'mcg')]",[]
['digoxin'],b162.,"[('38000', 'mcg')]",[]
['digoxin'],b163.,"[('40000', 'mcg')]",[]
['digoxin'],b164.,"[('40000', 'mcg')]",[]
['bendroflumethiazide'],b21..,[],[]
['bendroflumethiazide'],b211.,"[('2500', 'mcg')]",[]
['bendroflumethiazide'],b212.,"[('5000', 'mcg')]",[]
['bendroflumethiazide'],b213.,"[('2500', 'mcg')]",[]
['bendroflumethiazide'],b214.,"[('5000', 'mcg')]",[]
['bendroflumethiazide'],b215.,"[('2500', 'mcg')]",[]
['bendroflumethiazide'],b216.,"[('5000', 'mcg')]",[]
['bendroflumethiazide'],b217.,"[('2500', 'mcg')]",[]
['bendroflumethiazide'],b218.,"[('5000', 'mcg')]",[]
['bendroflumethiazide'],b219.,"[('5000', 'mcg')]",[]
['bendroflumethiazide'],b21a.,"[('5000', 'mcg')]",[]
['bendroflumethiazide'],b21A.,"[('2500', 'mcg')]",[]
['bendroflumethiazide'],b21b.,"[('2500', 'mcg')]",[]
['bendroflumethiazide'],b21B.,"[('5000', 'mcg')]",[]
['chlorothiazide'],b22..,[],[]
['chlorothiazide'],b221.,"[('500000', 'mcg')]",[]
['chlorothiazide'],b222.,"[('250000', 'mcg')]",[]
['chlorothiazide'],b22y.,"[('250000', 'mcg')]",[]
['chlorothiazide'],b22z.,"[('500000', 'mcg')]",[]
['chlortalidone'],b23..,[],[]
['chlortalidone'],b231.,"[('50000', 'mcg')]",[]
['chlortalidone'],b232.,"[('100000', 'mcg')]",[]
['chlortalidone'],b23y.,"[('50000', 'mcg')]",[]
['chlortalidone'],b23z.,"[('100000', 'mcg')]",[]
['hydrochlorothiazide'],b26..,[],[]
['hydrochlorothiazide'],b261.,"[('25000', 'mcg')]",[]
['hydrochlorothiazide'],b262.,"[('50000', 'mcg')]",[]
['hydrochlorothiazide'],b263.,"[('25000', 'mcg')]",[]
['hydrochlorothiazide'],b264.,"[('50000', 'mcg')]",[]
['hydrochlorothiazide'],b26y.,"[('50000', 'mcg')]",[]
['hydrochlorothiazide'],b26z.,"[('25000', 'mcg')]",[]
['hydroflumethiazide'],b27..,[],[]
['hydroflumethiazide'],b271.,"[('50000', 'mcg')]",[]
['hydroflumethiazide'],b27z.,"[('50000', 'mcg')]",[]
['indapamide'],b28..,[],[]
['indapamide'],b281.,"[('2500', 'mcg')]",[]
['indapamide'],b283.,"[('2500', 'mcg')]",[]
['indapamide'],b284.,"[('2500', 'mcg')]",[]
['indapamide'],b285.,"[('1500', 'mcg')]",[]
['indapamide'],b286.,"[('1500', 'mcg')]",[]
['indapamide'],b287.,"[('1500', 'mcg')]",[]
['indapamide'],b288.,"[('1500', 'mcg')]",[]
['indapamide'],b289.,"[('1500', 'mcg')]",[]
['indapamide'],b28z.,"[('2500', 'mcg')]",[]
['metolazone'],b2b..,[],[]
['metolazone'],b2b1.,"[('5000', 'mcg')]",[]
['metolazone'],b2b2.,"[('500', 'mcg')]",[]
['metolazone'],b2b3.,"[('500', 'mcg')]",[]
['metolazone'],b2bz.,"[('5000', 'mcg')]",[]
['xipamide'],b2d..,[],[]
['xipamide'],b2d1.,"[('20000', 'mcg')]",[]
['xipamide'],b2dz.,"[('20000', 'mcg')]",[]
['furosemide'],b31..,[],[]
['furosemide'],b311.,"[('20000', 'mcg')]",[]
['furosemide'],b312.,"[('40000', 'mcg')]",[]
['furosemide'],b313.,"[('500000', 'mcg')]",[]
['furosemide'],b314.,"[('20000', 'mcg')]",[]
['furosemide'],b315.,"[('40000', 'mcg')]",[]
['furosemide'],b316.,"[('500000', 'mcg')]",[]
['furosemide'],b317.,"[('40000', 'mcg')]",[]
['furosemide'],b318.,"[('20000', 'mcg')]",[]
['furosemide'],b319.,"[('50000', 'mcg')]",[]
['furosemide'],b31a.,"[('40000', 'mcg')]",[]
['furosemide'],b31A.,"[('250000', 'mcg')]",[]
['furosemide'],b31b.,"[('500000', 'mcg')]",[]
['furosemide'],b31B.,"[('80000', 'mcg')]",[]
['furosemide'],b31c.,"[('20000', 'mcg')]",[]
['furosemide'],b31C.,"[('80000', 'mcg')]",[]
['furosemide'],b31d.,"[('50000', 'mcg')]",[]
['furosemide'],b31D.,"[('250000', 'mcg')]",[]
['furosemide'],b31e.,"[('250000', 'mcg')]",[]
['furosemide'],b31E.,"[('40000', 'mcg')]",[]
['furosemide'],b31f.,"[('40000', 'mcg')]",[]
['furosemide'],b31F.,"[('20000', 'mcg')]",[]
['furosemide'],b31g.,"[('40000', 'mcg')]",[]
['furosemide'],b31G.,"[('40000', 'mcg')]",[]
['furosemide'],b31h.,"[('20000', 'mcg')]",[]
['furosemide'],b31H.,"[('50000', 'mcg')]",[]
['furosemide'],b31i.,"[('40000', 'mcg')]",[]
['furosemide'],b31j.,"[('500000', 'mcg')]",[]
['furosemide'],b31k.,"[('1000', 'mcg')]",[]
['furosemide'],b31l.,"[('20000', 'mcg')]",[]
['furosemide'],b31m.,"[('50000', 'mcg')]",[]
['furosemide'],b31n.,"[('250000', 'mcg')]",[]
['furosemide'],b31o.,"[('40000', 'mcg')]",[]
['furosemide'],b31p.,"[('20000', 'mcg')]",[]
['furosemide'],b31q.,"[('40000', 'mcg')]",[]
['furosemide'],b31r.,"[('20000', 'mcg')]",[]
['furosemide'],b31s.,"[('40000', 'mcg')]",[]
['furosemide'],b31t.,"[('50000', 'mcg')]",[]
['furosemide'],b31u.,"[('50000', 'mcg')]",[]
['furosemide'],b31x.,"[('1000', 'mcg')]",[]
['furosemide'],b31y.,"[('20000', 'mcg')]",[]
['furosemide'],b31z.,"[('250000', 'mcg')]",[]
['bumetanide'],b32..,[],[]
['bumetanide'],b327.,"[('1000', 'mcg')]",[]
['bumetanide'],b328.,"[('5000', 'mcg')]",[]
['bumetanide'],b32u.,"[('1000', 'mcg')]",[]
['bumetanide'],b32v.,"[('5000', 'mcg')]",[]
['bumetanide'],b32w.,"[('1000', 'mcg')]",[]
['bumetanide'],b32x.,"[('1000', 'mcg')]",[]
['bumetanide'],b32y.,"[('2000', 'mcg')]",[]
['bumetanide'],b32z.,"[('5000', 'mcg')]",[]
['torasemide'],b35..,[],[]
['torasemide'],b351.,"[('2500', 'mcg')]",[]
['torasemide'],b352.,"[('5000', 'mcg')]",[]
['torasemide'],b353.,"[('10000', 'mcg')]",[]
['torasemide'],b354.,"[('10000', 'mcg')]",[]
['torasemide'],b355.,"[('20000', 'mcg')]",[]
['torasemide'],b356.,"[('2500', 'mcg')]",[]
['torasemide'],b357.,"[('5000', 'mcg')]",[]
['torasemide'],b358.,"[('10000', 'mcg')]",[]
['torasemide'],b359.,"[('10000', 'mcg')]",[]
['torasemide'],b35A.,"[('20000', 'mcg')]",[]
['amiloride'],b41..,[],[]
['amiloride'],b411.,"[('5000', 'mcg')]",[]
['amiloride'],b412.,"[('5000', 'mcg')]",[]
['amiloride'],b413.,"[('5000', 'mcg')]",[]
['amiloride'],b414.,"[('5000', 'mcg')]",[]
['amiloride'],b415.,"[('5000', 'mcg')]",[]
['amiloride'],b41z.,"[('5000', 'mcg')]",[]
['spironolactone'],b421.,"[('200000', 'mcg')]",[]
['spironolactone'],b43..,[],[]
['spironolactone'],b431.,"[('25000', 'mcg')]",[]
['spironolactone'],b432.,"[('50000', 'mcg')]",[]
['spironolactone'],b433.,"[('100000', 'mcg')]",[]
['spironolactone'],b434.,"[('25000', 'mcg')]",[]
['spironolactone'],b435.,"[('50000', 'mcg')]",[]
['spironolactone'],b436.,"[('100000', 'mcg')]",[]
['spironolactone'],b437.,"[('50000', 'mcg')]",[]
['spironolactone'],b438.,"[('25000', 'mcg')]",[]
['spironolactone'],b439.,"[('100000', 'mcg')]",[]
['spironolactone'],b43a.,"[('25000', 'mcg')]",[]
['spironolactone'],b43A.,"[('25000', 'mcg')]",[]
['spironolactone'],b43b.,"[('100000', 'mcg')]",[]
['spironolactone'],b43c.,"[('25000', 'mcg')]",[]
['spironolactone'],b43d.,"[('50000', 'mcg')]",[]
['spironolactone'],b43e.,"[('100000', 'mcg')]",[]
['spironolactone'],b43f.,"[('25000', 'mcg')]",[]
['spironolactone'],b43g.,"[('50000', 'mcg')]",[]
['spironolactone'],b43h.,"[('100000', 'mcg')]",[]
['spironolactone'],b43i.,"[('50000', 'mcg')]",[]
['spironolactone'],b43j.,"[('100000', 'mcg')]",[]
['spironolactone'],b43k.,"[('5000', 'mcg')]",[]
['spironolactone'],b43l.,"[('10000', 'mcg')]",[]
['spironolactone'],b43m.,"[('25000', 'mcg')]",[]
['spironolactone'],b43n.,"[('50000', 'mcg')]",[]
['spironolactone'],b43z.,"[('100000', 'mcg')]",[]
['triamterene'],b44..,[],[]
['triamterene'],b441.,"[('50000', 'mcg')]",[]
['triamterene'],b44z.,"[('50000', 'mcg')]",[]
['eplerenone'],b45..,[],[]
['eplerenone'],b451.,"[('25000', 'mcg')]",[]
['eplerenone'],b452.,"[('50000', 'mcg')]",[]
['eplerenone'],b45y.,"[('50000', 'mcg')]",[]
['eplerenone'],b45z.,"[('25000', 'mcg')]",[]
"['hydroflumethiazide', 'spironolactone']",b511.,[],"[('25', 'sztuk')]"
"['hydroflumethiazide', 'spironolactone']",b512.,[],"[('50', 'sztuk')]"
"['hydrochlorothiazide', 'triamterene']",b514.,[],[]
['triamterene'],b515.,[],[]
"['amiloride', 'furosemide']",b516.,"[('40000', 'mcg'), ('5000', 'mcg')]",[]
"['furosemide', 'triamterene']",b517.,[],[]
"['chlortalidone', 'triamterene']",b518.,[],[]
"['furosemide', 'spironolactone']",b519.,[],[]
"['amiloride', 'hydrochlorothiazide']",b51a.,[],"[('25', 'sztuk')]"
"['hydrochlorothiazide', 'triamterene']",b51A.,"[('50000', 'mcg'), ('25000', 'mcg')]",[]
"['amiloride', 'hydrochlorothiazide']",b51b.,[],[]
"['amiloride', 'furosemide']",b51B.,"[('40000', 'mcg'), ('5000', 'mcg')]",[]
"['amiloride', 'hydrochlorothiazide']",b51c.,[],[]
['amiloride'],b51C.,"[('2500', 'mcg'), ('250', 'mcg')]",[]
"['amiloride', 'hydrochlorothiazide']",b51d.,[],[]
