base_name,alternative_names,bnf_paragraph_code,bnf_paragraph_name,bnf_section_name,bnf_chapter_name
acamprosate,"Acamprosate calcium,Acamprosate",041001,Alcohol dependence,Drugs used in substance dependence,Central Nervous System
acebutolol,"Acebutolol hydrochloride,Acebutolol",020400,Beta-adrenoceptor blocking drugs,Beta-adrenoceptor blocking drugs,Cardiovascular System
acenocoumarol,Acenocoumarol,020802,Oral anticoagulants,Anticoagulants and protamine,Cardiovascular System
acetyl_l_carnitine,Acetyl-L-carnitine,020604,Peripheral vasodilators and related drugs,"Nitrates, calcium-channel blockers & other antianginal drugs",Cardiovascular System
acipimox,Acipimox,021200,Lipid-regulating drugs,Lipid-regulating drugs,Cardiovascular System
adrenaline,Adrenaline,020703,Cardiopulmonary resuscitation,Sympathomimetics and other vasoconstrictor drugs,Cardiovascular System
agomelatine,Agomelatine,040304,Other antidepressant drugs,Antidepressant drugs,Central Nervous System
alirocumab,Alirocumab,021200,Lipid-regulating drugs,Lipid-regulating drugs,Cardiovascular System
aliskiren,Aliskiren,020505,Renin-angiotensin system drugs,Hypertension and heart failure,Cardiovascular System
almotriptan,Almotriptan,040704,Antimigraine drugs,Analgesics,Central Nervous System
alprazolam,Alprazolam,040102,Anxiolytics,Hypnotics and anxiolytics,Central Nervous System
amantadine,"Amantadine hydrochloride,Amantadine",040901,Dopaminergic drugs used in parkinsonism,Drugs used in parkinsonism and related disorders,Central Nervous System
ambrisentan,Ambrisentan,020501,Vasodilator antihypertensive drugs,Hypertension and heart failure,Cardiovascular System
amiloride,"Amiloride hydrochloride,Amiloride",020203,Potassium-sparing diuretics and aldosterone antagonists,Diuretics,Cardiovascular System
amiloride/bumetanide,Amiloride / Bumetanide,020204,Potassium sparing diuretics and compounds,Diuretics,Cardiovascular System
amiodarone,"Amiodarone hydrochloride,Amiodarone",020302,Drugs for arrhythmias,Anti-arrhythmic drugs,Cardiovascular System
amisulpride,Amisulpride,040201,Antipsychotic drugs,Drugs used in psychoses and related disorders,Central Nervous System
amitriptyline,"Amitriptyline hydrochloride,Amitriptyline",040301,Tricyclic and related antidepressant drugs,Antidepressant drugs,Central Nervous System
amlodipine,Amlodipine,020602,Calcium-channel blockers,"Nitrates, calcium-channel blockers & other antianginal drugs",Cardiovascular System
amobarbital,Amobarbital sodium,040103,Barbiturates,Hypnotics and anxiolytics,Central Nervous System
apixaban,Apixaban,020802,Oral anticoagulants,Anticoagulants and protamine,Cardiovascular System
apomorphine,"Apomorphine hydrochloride,Apomorphine",040901,Dopaminergic drugs used in parkinsonism,Drugs used in parkinsonism and related disorders,Central Nervous System
apomorphine,"Apomorphine hydrochloride hemihydrate,Apomorphine",040901,Dopaminergic drugs used in parkinsonism,Drugs used in parkinsonism and related disorders,Central Nervous System
aprepitant,Aprepitant,040600,Drugs used in nausea and vertigo,Drugs used in nausea and vertigo,Central Nervous System
aripiprazole,Aripiprazole,040201,Antipsychotic drugs,Drugs used in psychoses and related disorders,Central Nervous System
asenapine,Asenapine,040203,Drugs used for mania and hypomania,Drugs used in psychoses and related disorders,Central Nervous System
aspirin,Aspirin,020900,Antiplatelet drugs,Antiplatelet drugs,Cardiovascular System
aspirin/caffeine,"Aspirin and caffeine,Aspirin / Caffeine",040701,Non-opioid analgesics and compound preparations,Analgesics,Central Nervous System
atenolol,Atenolol,020400,Beta-adrenoceptor blocking drugs,Beta-adrenoceptor blocking drugs,Cardiovascular System
atomoxetine,"Atomoxetine hydrochloride,Atomoxetine",040400,CNS stimulants and drugs used for ADHD,CNS stimulants and drugs used for ADHD,Central Nervous System
atorvastatin,Atorvastatin,021200,Lipid-regulating drugs,Lipid-regulating drugs,Cardiovascular System
azilsartan,Azilsartan medoxomil,020505,Renin-angiotensin system drugs,Hypertension and heart failure,Cardiovascular System
bempedoic,Bempedoic acid,021200,Lipid-regulating drugs,Lipid-regulating drugs,Cardiovascular System
bempedoic_acid/ezetimibe,Bempedoic acid / Ezetimibe,021200,Lipid-regulating drugs,Lipid-regulating drugs,Cardiovascular System
bendroflumethiazide,"Bendroflumethiazide,bendrofluazide",020201,Thiazides and related diuretics,Diuretics,Cardiovascular System
benperidol,Benperidol,040201,Antipsychotic drugs,Drugs used in psychoses and related disorders,Central Nervous System
benzatropine,"Benzatropine mesilate,Benzatropine,benztropine",040902,Antimuscarinic drugs used in parkinsonism,Drugs used in parkinsonism and related disorders,Central Nervous System
betahistine,"Betahistine hydrochloride,Betahistine",040600,Drugs used in nausea and vertigo,Drugs used in nausea and vertigo,Central Nervous System
bezafibrate,Bezafibrate,021200,Lipid-regulating drugs,Lipid-regulating drugs,Cardiovascular System
biperiden,"Biperiden hydrochloride,Biperiden",040902,Antimuscarinic drugs used in parkinsonism,Drugs used in parkinsonism and related disorders,Central Nervous System
bisoprolol,"Bisoprolol fumarate,Bisoprolol",020400,Beta-adrenoceptor blocking drugs,Beta-adrenoceptor blocking drugs,Cardiovascular System
