BNF_Presentation_Code,BNF_Presentation,BNF_Product,BNF_Chemical_Substance,BNF_Subparagraph,BNF_Paragraph,BNF_Section,BNF_Chapter
010101000BBABA0,Langdales_Cinnamon Tab,Proprietary Co Prepn Bnf 0101010,Other Antacid & Simeticone Preps,Antacids and Simeticone,Antacids and Simeticone,Dyspep&Gastro-Oesophageal Reflux Disease,Gastro-Intestinal System
010101000BBADA0,Mylanta 11_Tab,Proprietary Co Prepn Bnf 0101010,Other Antacid & Simeticone Preps,Antacids and Simeticone,Antacids and Simeticone,Dyspep&Gastro-Oesophageal Reflux Disease,Gastro-Intestinal System
010101000BBAEA0,Mylanta 11_Liq,Proprietary Co Prepn Bnf 0101010,Other Antacid & Simeticone Preps,Antacids and Simeticone,Antacids and Simeticone,Dyspep&Gastro-Oesophageal Reflux Disease,Gastro-Intestinal System
010101000BBAFA0,Rennie Plus_Tab,Proprietary Co Prepn Bnf 0101010,Other Antacid & Simeticone Preps,Antacids and Simeticone,Antacids and Simeticone,Dyspep&Gastro-Oesophageal Reflux Disease,Gastro-Intestinal System
010101000BBAIA0,Sab Simplex_Susp,Proprietary Co Prepn Bnf 0101010,Other Antacid & Simeticone Preps,Antacids and Simeticone,Antacids and Simeticone,Dyspep&Gastro-Oesophageal Reflux Disease,Gastro-Intestinal System
010101000BBAJA0,Boots_Indigest Mix,Proprietary Co Prepn Bnf 0101010,Other Antacid & Simeticone Preps,Antacids and Simeticone,Antacids and Simeticone,Dyspep&Gastro-Oesophageal Reflux Disease,Gastro-Intestinal System
0101010A0AAAAAA,Alexitol Sod_Tab 360mg,Alexitol Sod,Alexitol Sodium,Antacids and Simeticone,Antacids and Simeticone,Dyspep&Gastro-Oesophageal Reflux Disease,Gastro-Intestinal System
0101010A0AAABAB,Alexitol Sod_Tab 360mg               @gn,Alexitol Sod,Alexitol Sodium,Antacids and Simeticone,Antacids and Simeticone,Dyspep&Gastro-Oesophageal Reflux Disease,Gastro-Intestinal System
0101010A0BBAAAA,Actal_Tab 360mg,Actal,Alexitol Sodium,Antacids and Simeticone,Antacids and Simeticone,Dyspep&Gastro-Oesophageal Reflux Disease,Gastro-Intestinal System
0101010B0AAAAAA,Almasilate_Susp 500mg/5ml,Almasilate,Almasilate,Antacids and Simeticone,Antacids and Simeticone,Dyspep&Gastro-Oesophageal Reflux Disease,Gastro-Intestinal System
0101010B0BBAAAA,Malinal_Susp 500mg/5ml,Malinal,Almasilate,Antacids and Simeticone,Antacids and Simeticone,Dyspep&Gastro-Oesophageal Reflux Disease,Gastro-Intestinal System
0101010C0AAAAAA,Alum Hydrox_Cap 475mg,Alum Hydrox,Aluminium Hydroxide,Antacids and Simeticone,Antacids and Simeticone,Dyspep&Gastro-Oesophageal Reflux Disease,Gastro-Intestinal System
0101010C0AAACAC,Alum Hydrox_Oral Susp S/F,Alum Hydrox,Aluminium Hydroxide,Antacids and Simeticone,Antacids and Simeticone,Dyspep&Gastro-Oesophageal Reflux Disease,Gastro-Intestinal System
0101010C0AAADAD,Alum Hydrox_Tab 475mg,Alum Hydrox,Aluminium Hydroxide,Antacids and Simeticone,Antacids and Simeticone,Dyspep&Gastro-Oesophageal Reflux Disease,Gastro-Intestinal System
0101010C0AAAFAF,Alum Hydrox_Tab 250mg,Alum Hydrox,Aluminium Hydroxide,Antacids and Simeticone,Antacids and Simeticone,Dyspep&Gastro-Oesophageal Reflux Disease,Gastro-Intestinal System
0101010C0AAAGAG,Alum Hydrox_Tab 375mg,Alum Hydrox,Aluminium Hydroxide,Antacids and Simeticone,Antacids and Simeticone,Dyspep&Gastro-Oesophageal Reflux Disease,Gastro-Intestinal System
0101010C0AAAHAH,Alum Hydrox_Tab 500mg,Alum Hydrox,Aluminium Hydroxide,Antacids and Simeticone,Antacids and Simeticone,Dyspep&Gastro-Oesophageal Reflux Disease,Gastro-Intestinal System
