phenotype,peak_value,lower_bound,upper_bound,n_patients
ondansetron__mean_dose,3995.97423510467,1159.4202898550725,6038.29307568438,339
ondansetron__mean_dose,8080.61191626409,6038.29307568438,23851.85185185185,171
sumatriptan__mean_dose,20526.805214258246,873.0077120822622,35085.173734388605,216
sumatriptan__mean_dose,49643.54225451896,35085.173734388605,75120.68716474708,2733
sumatriptan__mean_dose,100597.83207497522,75120.68716474708,146456.69291338584,642
almotriptan__mean_dose,12554.815440603068,1150.246945671952,16666.666666666668,211
midazolam__mean_dose,10109.396914446002,869.5652173913044,41935.48387096774,306
fentanyl__mean_dose,11.8,1.8461538461538463,400.0,390
terazosin__mean_dose,2034.4088552326377,357.14285714285717,16331.104743712194,65
flecainide__mean_dose,50364.3829675152,15503.875968992248,75264.74510931731,105
flecainide__mean_dose,100165.10725111942,75264.74510931731,347508.7045263537,101
verapamil__mean_dose,38552.61603252128,12620.126926563917,79303.67034188284,104
verapamil__mean_dose,120054.72465124441,79303.67034188284,179328.9854648612,190
verapamil__mean_dose,238603.24627847804,179328.9854648612,753548.3870967742,122
doxepin__mean_dose,10221.09616209007,3.2663316582914574,17652.24512967682,69
doxepin__mean_dose,25083.39409726357,17652.24512967682,185781.990521327,132
bupropion__mean_dose,151416.9034090909,95312.5,170652.69886363635,999
bupropion__mean_dose,189888.49431818182,170652.69886363635,197903.4090909091,89
bupropion__mean_dose,205918.32386363635,197903.4090909091,415909.0909090909,94
rizatriptan__mean_dose,2368.6322997907555,745.6724367509987,3741.9060300551646,57
rizatriptan__mean_dose,5115.179760319574,3741.9060300551646,7612.041088073046,57
rizatriptan__mean_dose,10108.902415826518,7612.041088073046,25714.285714285714,554
thioridazine__mean_dose,10048.965329460882,4285.714285714285,16964.866581956798,193
thioridazine__mean_dose,23880.767834452716,16964.866581956798,234815.75603557815,125
tadalafil__mean_dose,4827.759414090349,551.558752997602,7393.479810745997,518
tadalafil__mean_dose,9959.200207401645,7393.479810745997,12524.920604057294,1562
tadalafil__mean_dose,15090.641000712942,12524.920604057294,17656.361397368593,113
tadalafil__mean_dose,20222.08179402424,17656.361397368593,57567.56756756757,1429
oxycodone__mean_dose,11317.424242424244,1615.3846153846155,389696.9696969697,320
diazepam__mean_dose,2044.5940783190067,296.2962962962963,2500.6717605858007,15862
diazepam__mean_dose,2956.7494428525947,2500.6717605858007,3944.9177544306485,465
diazepam__mean_dose,4933.086066008703,3944.9177544306485,7441.513318476069,5347
diazepam__mean_dose,9949.940570943436,7441.513318476069,15498.88570518943,106
olmesartan__mean_dose,10046.130534139758,4519.600307455803,14990.920736962245,118
olmesartan__mean_dose,19935.71093978473,14990.920736962245,62693.60269360269,58
valsartan__mean_dose,40629.17510853835,10130.246020260493,60363.776283306375,132
valsartan__mean_dose,80098.3774580744,60363.776283306375,119567.57980761048,363
valsartan__mean_dose,159036.78215714655,119567.57980761048,368941.17647058825,102
ivabradine__mean_dose,5078.32684436458,3456.7901234567903,22533.69272237197,63
